date,jobcountry,genai_share
2019-01-01,AU,0.00537701862240783
2019-01-01,CA,0.00114866831053865
2019-01-01,DE,0
2019-01-01,FR,0.000738029166912676
2019-01-01,GB,0.000545705570016753
2019-01-01,IE,0.00552181115405853
2019-01-01,US,0.00108070797649413
2019-01-02,AU,0.00532856422434611
2019-01-02,CA,0.00115078055536156
2019-01-02,DE,0
2019-01-02,FR,0.000740440077359389
2019-01-02,GB,0.000547308881638879
2019-01-02,IE,0.00552196361446921
2019-01-02,US,0.00109327968279821
2019-01-03,AU,0.00529818620542999
2019-01-03,CA,0.00114673256908747
2019-01-03,DE,0
2019-01-03,FR,0.000740125814820404
2019-01-03,GB,0.000544510455781108
2019-01-03,IE,0.00548525611242783
2019-01-03,US,0.00110153654499998
2019-01-04,AU,0.00526982713462968
2019-01-04,CA,0.00114126322053966
2019-01-04,DE,0
2019-01-04,FR,0.000739699067058467
2019-01-04,GB,0.00054092024389069
2019-01-04,IE,0.00543802449521013
2019-01-04,US,0.00110961879773529
2019-01-05,AU,0.00527760189987872
2019-01-05,CA,0.00113949831778273
2019-01-05,DE,0
2019-01-05,FR,0.000739501930226974
2019-01-05,GB,0.000537979135284572
2019-01-05,IE,0.00541885273896419
2019-01-05,US,0.00112141847931716
2019-01-06,AU,0.00498677369898487
2019-01-06,CA,0.00113759285115982
2019-01-06,DE,0
2019-01-06,FR,0.000739741786731154
2019-01-06,GB,0.000536007090843295
2019-01-06,IE,0.00538598718969868
2019-01-06,US,0.00112781562894019
2019-01-07,AU,0.00477263231861738
2019-01-07,CA,0.00113854104658272
2019-01-07,DE,0
2019-01-07,FR,0.000740348997552485
2019-01-07,GB,0.000535894672553392
2019-01-07,IE,0.00537229838862497
2019-01-07,US,0.00113648044348206
2019-01-08,AU,0.00448776536289355
2019-01-08,CA,0.00113512290357703
2019-01-08,DE,0
2019-01-08,FR,0.000740197093414757
2019-01-08,GB,0.000532636599258363
2019-01-08,IE,0.00532910809461464
2019-01-08,US,0.00114392732310663
2019-01-09,AU,0.00396746802612932
2019-01-09,CA,0.00112917878605176
2019-01-09,DE,0
2019-01-09,FR,0.000738300980066304
2019-01-09,GB,0.000527262268963394
2019-01-09,IE,0.00527859049355749
2019-01-09,US,0.0011442471650319
2019-01-10,AU,0.0032192637164725
2019-01-10,CA,0.00101870472305782
2019-01-10,DE,0
2019-01-10,FR,0.000735756076485044
2019-01-10,GB,0.000522034353880601
2019-01-10,IE,0.00523295998668219
2019-01-10,US,0.00114203468804597
2019-01-11,AU,0.0024785851561541
2019-01-11,CA,0.000909595648398811
2019-01-11,DE,0
2019-01-11,FR,0.000733593418868352
2019-01-11,GB,0.000517534396332278
2019-01-11,IE,0.00519985193898814
2019-01-11,US,0.00113992457266452
2019-01-12,AU,0.00172019930460055
2019-01-12,CA,0.000799919254800571
2019-01-12,DE,0
2019-01-12,FR,0.00073168622762587
2019-01-12,GB,0.000513192329840185
2019-01-12,IE,0.00516688957350406
2019-01-12,US,0.00113110783224593
2019-01-13,AU,0.00144588907672346
2019-01-13,CA,0.000690376345159423
2019-01-13,DE,0
2019-01-13,FR,0.000729600790335891
2019-01-13,GB,0.000508708036414437
2019-01-13,IE,0.0051391742368047
2019-01-13,US,0.00112180692038491
2019-01-14,AU,0.00117581864216073
2019-01-14,CA,0.00057900994000577
2019-01-14,DE,0
2019-01-14,FR,0.000727926296894446
2019-01-14,GB,0.000504426336921996
2019-01-14,IE,0.00510911516907819
2019-01-14,US,0.00111578783241735
2019-01-15,AU,0.000915152616600098
2019-01-15,CA,0.000470092819519879
2019-01-15,DE,0
2019-01-15,FR,0.000726249591526318
2019-01-15,GB,0.000500791191705058
2019-01-15,IE,0.00507922830617503
2019-01-15,US,0.00112091725076413
2019-01-16,AU,0.000895764772878963
2019-01-16,CA,0.000412873281095983
2019-01-16,DE,0
2019-01-16,FR,0.000724583977574219
2019-01-16,GB,0.000497881328212529
2019-01-16,IE,0.00504626988547442
2019-01-16,US,0.00113165349479955
2019-01-17,AU,0.001107970867438
2019-01-17,CA,0.000460609879588557
2019-01-17,DE,0
2019-01-17,FR,0.00072345839642877
2019-01-17,GB,0.000494962927275652
2019-01-17,IE,0.0050131716346716
2019-01-17,US,0.00113644292035771
2019-01-18,AU,0.00131822805402864
2019-01-18,CA,0.000557625396866093
2019-01-18,DE,0
2019-01-18,FR,0.000721894711616036
2019-01-18,GB,0.000492042826818294
2019-01-18,IE,0.00498089425256803
2019-01-18,US,0.00114116520943406
2019-01-19,AU,0.00153259308337521
2019-01-19,CA,0.000658033213962949
2019-01-19,DE,0
2019-01-19,FR,0.000720384079463463
2019-01-19,GB,0.000524183341822211
2019-01-19,IE,0.00495720414711326
2019-01-19,US,0.00114990261902824
2019-01-20,AU,0.00151492147818351
2019-01-20,CA,0.000755578869300103
2019-01-20,DE,0
2019-01-20,FR,0.000718712654832236
2019-01-20,GB,0.000555435643200165
2019-01-20,IE,0.00492846638688153
2019-01-20,US,0.00115145886032477
2019-01-21,AU,0.00149910718606364
2019-01-21,CA,0.000853717954486503
2019-01-21,DE,0
2019-01-21,FR,0.000717148421041953
2019-01-21,GB,0.000587790760552393
2019-01-21,IE,0.00490138961149972
2019-01-21,US,0.00114600071705755
2019-01-22,AU,0.00148375626791128
2019-01-22,CA,0.00095100688604895
2019-01-22,DE,0
2019-01-22,FR,0.000715223783409895
2019-01-22,GB,0.000620050540727151
2019-01-22,IE,0.00487710389714472
2019-01-22,US,0.00114025491362935
2019-01-23,AU,0.00147231898230034
2019-01-23,CA,0.000996173276097216
2019-01-23,DE,0
2019-01-23,FR,0.000713198179969618
2019-01-23,GB,0.000685524338607818
2019-01-23,IE,0.00485340662748112
2019-01-23,US,0.00113858812541154
2019-01-24,AU,0.00145859174577334
